State,countyFIPS,County Name,population,2/5/2020,2/19/2020,3/4/2020,3/18/2020,4/1/2020,4/15/2020,4/29/2020,5/13/2020,5/27/2020,6/10/2020,6/24/2020,7/8/2020,7/22/2020,8/5/2020,8/19/2020,9/2/2020,9/16/2020,9/30/2020,10/14/2020,10/28/2020
CA,6061,Placer County,398329,0.0,0.0,2.0,7.0,69.0,51.0,16.0,25.0,24.0,120.0,242.0,414.0,509.0,519.0,665.0,399.0,291.0,243.0,249.0,403.0
CA,6063,Plumas County,18807,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,17.0,6.0,7.0,3.0,6.0,1.0,2.0,24.0
CA,6065,Riverside County,2470546,0.0,0.0,0.0,16.0,413.0,1676.0,1837.0,1401.0,1909.0,2659.0,4994.0,7052.0,10025.0,6995.0,9653.0,4676.0,2895.0,3204.0,3495.0,4399.0
CA,6067,Sacramento County,1552058,0.0,0.0,2.0,38.0,274.0,539.0,215.0,115.0,136.0,323.0,798.0,2336.0,3195.0,2273.0,4516.0,3653.0,2247.0,1994.0,1406.0,1822.0
CA,6069,San Benito County,62808,2.0,0.0,0.0,3.0,18.0,18.0,9.0,8.0,25.0,26.0,82.0,113.0,190.0,200.0,178.0,251.0,122.0,65.0,80.0,54.0
CA,6071,San Bernardino County,2180085,0.0,0.0,0.0,5.0,249.0,742.0,932.0,1225.0,1624.0,1816.0,3814.0,6179.0,9189.0,8462.0,8710.0,5298.0,3007.0,3951.0,3733.0,4914.0
CA,6073,San Diego County,3338330,0.0,2.0,0.0,73.0,774.0,1163.0,1420.0,1846.0,1705.0,1854.0,2789.0,6216.0,7265.0,5757.0,4512.0,3745.0,4324.0,3735.0,4147.0,4213.0
CA,6075,San Francisco County,881549,0.0,0.0,0.0,51.0,383.0,579.0,477.0,504.0,414.0,401.0,440.0,822.0,1388.0,1622.0,1447.0,1089.0,873.0,785.0,437.0,529.0
CA,6077,San Joaquin County,762148,0.0,0.0,0.0,14.0,147.0,203.0,176.0,98.0,196.0,475.0,1433.0,3075.0,3778.0,2439.0,3345.0,2399.0,1845.0,788.0,689.0,888.0
CA,6079,San Luis Obispo County,283111,0.0,0.0,0.0,7.0,76.0,41.0,57.0,51.0,34.0,40.0,167.0,372.0,548.0,577.0,609.0,456.0,258.0,319.0,321.0,307.0
